Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,121.5,-78.2,270.0,top
C10,145.65,-87.15,0.0,top
C11,127.7,-78.22,270.0,top
C12,136.5825,-99.595,0.0,top
C13,148.9,-85.45,90.0,top
C14,148.35,-80.075,0.0,top
C18,131.0,-76.8,180.0,top
C19,143.7,-88.3,0.0,top
C2,136.5875,-98.495,0.0,top
C20,138.8,-74.9,90.0,top
C21,143.82,-81.3,0.0,top
C24,129.9,-87.3,180.0,top
C25,141.2,-88.4,0.0,top
C26,141.2,-89.4,0.0,top
C27,143.7,-87.3,0.0,top
C28,131.02,-75.8,180.0,top
C29,143.82,-80.3,0.0,top
C3,137.9875,-97.995,90.0,top
C30,129.4,-88.6,180.0,top
C31,129.5475,-91.8,0.0,top
C32,126.4275,-106.04,270.0,top
C33,124.47,-105.895,180.0,top
C34,124.4275,-100.64,180.0,top
C35,124.4275,-101.64,180.0,top
C36,134.6675,-103.0,0.0,top
C37,131.8275,-96.3,90.0,top
C38,132.8275,-96.605,90.0,top
C4,139.3875,-97.495,0.0,top
C5,140.7875,-97.995,90.0,top
C6,143.6025,-97.995,90.0,top
C7,133.8275,-96.995,90.0,top
C9,144.95,-83.175,90.0,top
D1,144.5875,-97.995,270.0,top
D3,147.9,-93.4,180.0,top
D4,147.9,-91.9,180.0,top
D5,147.9,-90.41,180.0,top
J2,147.4875,-98.495,270.0,top
J3,136.0,-108.0,90.0,top
J4,129.73,-72.0,90.0,top
J5,114.8,-90.4,270.0,top
J6,121.405,-108.4,270.0,top
L1,124.2,-103.64,90.0,top
L2,134.845,-96.975,270.0,top
L3,134.6875,-98.495,0.0,top
L4,139.3875,-98.495,180.0,top
L5,142.2025,-98.495,0.0,top
L7,134.7025,-99.595,0.0,top
R10,124.8,-92.65,180.0,top
R11,145.4,-93.4,0.0,top
R12,145.4,-91.9,0.0,top
R13,145.39,-90.4,0.0,top
R3,119.3,-78.21,90.0,top
R4,129.5475,-92.8,0.0,top
R5,124.8,-84.95,180.0,top
R6,124.8,-86.05,180.0,top
R7,124.8,-88.25,180.0,top
R8,124.8,-90.45,180.0,top
R9,124.8,-91.55,180.0,top
RESET1,125.5,-78.2,270.0,top
TH1,130.9475,-93.5,90.0,top
U1,136.1,-82.6,90.0,top
U2,129.6075,-101.32,0.0,top
Y1,146.4,-85.475,180.0,top
Y2,147.55,-82.3,0.0,top
Y3,128.9675,-94.66,180.0,top
