Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
C1,0603,1,1uF,
"C10, C13",0402,2,15pF,
"C11, C12, C18, C20, C24, C25, C27, C29, C4, C6, C7, C8",0402,12,100nF,
"C14, C9",0402,2,18pF,
"C19, C21, C22, C23",0402,4,1uF,
"C26, C28",0402,2,2.2uF,
C30,0603,1,4.7uF,
C5,0603,1,10uF,
"D1, D2",0603,2,LED,
D3,D_SOD-123,1,D_Schottky,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3, J4, J5",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
J6,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J8, J9",SolderWirePad_1x01_SMD_1.5x3mm,2,Conn_01x01,
"R1, R2",0402,2,5.1K,
"R13, R15",0402,2,1K,
R3,0402,1,10K,
"R4, R5",0402,2,1.2K,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32H523RCTx,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSV,
U3,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,
U4,Rohm_MLGA010V020A_LGA-10_2x2mm_P0.45mm_LayoutBorder2x3y,1,BMP384,
U5,SOT-23-5,1,MIC5504-3.3YM5,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
