Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,155.5,-127.0,90.0,top
C1,159.829,-123.015,90.0,top
C10,163.4,-97.6,180.0,top
C11,149.8,-127.5,270.0,top
C12,149.3,-109.9,270.0,top
C13,161.52,-97.6,0.0,top
C14,156.3,-96.7,90.0,top
C18,163.5,-102.2,0.0,top
C19,163.5,-101.2,0.0,top
C20,156.0,-100.3,90.0,top
C21,157.0,-100.3,90.0,top
C22,144.7,-123.2,180.0,top
C23,146.9,-119.1,0.0,top
C24,150.7,-105.1,180.0,top
C25,152.1,-112.7,180.0,top
C26,165.6,-104.7,90.0,top
C27,163.1,-114.3,270.0,top
C28,151.1,-111.1,270.0,top
C29,164.7,-103.3,0.0,top
C30,164.4,-114.8,270.0,top
C4,147.335,-99.0,90.0,top
C5,165.129,-125.79,270.0,top
C6,146.335,-100.1,90.0,top
C7,163.929,-122.19,0.0,top
C8,146.5,-110.8,270.0,top
C9,159.5,-99.7,180.0,top
D1,144.69,-92.2,270.0,top
D2,146.4,-92.2,270.0,top
D3,144.5,-120.2,90.0,top
J1,138.0,-115.5,270.0,top
J2,137.5,-104.5,0.0,top
J3,141.5,-104.5,0.0,bottom
J4,168.5,-104.77,0.0,bottom
J5,172.5,-104.73,0.0,top
J6,155.0,-92.5,90.0,top
J7,172.5,-115.77,0.0,top
J8,147.5,-127.0,0.0,top
J9,145.0,-127.0,0.0,top
R1,144.3,-114.1,0.0,top
R13,146.39,-94.71,90.0,top
R15,144.69,-94.71,90.0,top
R2,144.3,-117.3,180.0,top
R3,155.5,-123.7,180.0,top
R4,148.3,-106.2,180.0,top
R5,148.3,-105.2,180.0,top
RESET1,152.0,-127.0,270.0,top
U1,158.4,-108.0,180.0,top
U2,146.9775,-108.3,0.0,top
U3,162.5,-124.5,0.0,top
U4,148.3,-101.4,0.0,top
U5,147.4,-121.7,270.0,top
Y1,162.5,-99.3,0.0,top
Y2,158.6,-97.1,90.0,top
