Designator,Mid X,Mid Y,Rotation,Layer
C1,145.0,-88.8,180.0,top
C10,136.0,-100.75,270.0,top
C12,154.0,-89.25,270.0,top
C14,154.0,-100.775,270.0,top
C2,145.0,-85.5,180.0,top
C3,152.0,-108.5,270.0,top
C4,145.0175,-94.5,0.0,top
C8,136.0,-89.25,270.0,top
J1,148.0,-79.5,0.0,top
J10,160.0,-92.0,270.0,top
J11,160.0,-98.0,270.0,top
J12,160.0,-103.5,270.0,top
J2,142.0,-79.5,0.0,top
J3,148.0,-110.5,0.0,top
J4,142.0,-110.5,0.0,top
J5,130.0,-86.5,270.0,top
J6,130.0,-92.0,270.0,top
J7,130.0,-98.0,270.0,top
J8,130.0,-103.5,270.0,top
J9,160.0,-86.5,270.0,top
L1,145.0,-100.5,0.0,top
R1,142.0375,-91.9,0.0,top
R2,142.0375,-90.9,180.0,top
R3,142.4375,-93.4,90.0,top
R4,141.4375,-93.4,270.0,top
U1,145.0375,-92.3,0.0,top
