Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",111.500000,-60.690000,180.000000,bottom
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",138.500000,-60.960000,180.000000,bottom
"BOOT1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",125.500000,-87.000000,90.000000,top
"BOOT2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",116.500000,-100.200000,-90.000000,top
"BT1","MS621FE-FL11E","BAT_MS621FE-FL11E",182.525000,-107.050000,180.000000,top
"C1","1uF","C_0603_1608Metric",129.829000,-83.015000,90.000000,top
"C2","10uF","C_1210_3225Metric",167.000000,-60.500000,180.000000,top
"C3","10uF","C_1210_3225Metric",167.000000,-63.800000,180.000000,top
"C4","100nF","C_0402_1005Metric",117.335000,-59.000000,90.000000,top
"C5","10uF","C_0603_1608Metric",135.129000,-85.790000,-90.000000,top
"C6","100nF","C_0402_1005Metric",116.335000,-60.100000,90.000000,top
"C7","100nF","C_0402_1005Metric",133.929000,-82.190000,0.000000,top
"C8","100nF","C_0402_1005Metric",116.500000,-70.800000,-90.000000,top
"C9","18pF","C_0402_1005Metric",129.500000,-59.700000,180.000000,top
"C10","15pF","C_0402_1005Metric",133.400000,-57.600000,180.000000,top
"C11","100nF","C_0402_1005Metric",119.800000,-87.500000,-90.000000,top
"C12","100nF","C_0402_1005Metric",119.300000,-69.900000,-90.000000,top
"C13","15pF","C_0402_1005Metric",131.520000,-57.600000,0.000000,top
"C14","18pF","C_0402_1005Metric",126.300000,-56.700000,90.000000,top
"C15","10uF","C_1210_3225Metric",158.000000,-64.250000,-90.000000,top
"C16","10uF","C_1210_3225Metric",158.000000,-75.750000,-90.000000,top
"C17","10uF","C_1210_3225Metric",176.000000,-64.250000,-90.000000,top
"C18","100nF","C_0402_1005Metric",133.500000,-62.200000,0.000000,top
"C19","1uF","C_0402_1005Metric",133.500000,-61.200000,0.000000,top
"C20","100nF","C_0402_1005Metric",126.000000,-60.300000,90.000000,top
