Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_MS621FE-FL11E,1,MS621FE-FL11E,
C10,0402,1,7.5pF,
"C11, C15",0402,2,1.8pF,
C13,0402,1,18pF,
C14,0402,1,3.9pF,
C16,0402,1,2.2pF,
C17,0603,1,1uF,
"C18, C31, C32",0402,3,100nF,
"C19, C33",0603,2,4.7uF,
"C22, C23, C8",0402,3,47pF,
"C34, C36",0402,2,1uF,
"C35, C37",0402,2,2.2uF,
C38,0402,1,1nF,
C9,0402,1,22pF,
D2,0402,1,D_TVS,
D3,0603,1,D_Schottky,
"D4, D5, D6",0603,3,LED,
"J2, J5",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_Coaxial,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,0603,1,2.2uH,
L10,0402,1,3.9nH,
L11,0402,1,7.5nH,
L6,0402,1,12nH,
L8,0402,1,4.7nH,
L9,0402,1,24nH,
"R11, R12, R13",0402,3,1.2K,
R3,0402,1,1K,
R4,0402,1,120K,
TH1,0402,1,ERT-J0ER104F,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U2,QFN-32-1EP_7x7mm_P0.65mm_EP4.65x4.65mm,1,LR2021,
U3,LQFP-32_7x7mm_P0.8mm,1,STM32G030K8Tx,
U4,ublox_MAX,1,MAX-M10S,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
Y3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz 10pF,
