Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.525,-105.05,180.0,top
C10,142.475,-119.22,270.0,top
C11,143.875,-119.72,0.0,top
C13,140.16,-117.72,0.0,top
C14,145.275,-119.22,270.0,top
C15,148.075,-119.22,270.0,top
C16,138.26,-116.72,180.0,top
C17,142.625,-105.95,180.0,top
C18,120.7,-114.2,270.0,top
C19,121.9,-114.9,270.0,top
C22,116.6,-112.9,0.0,top
C23,119.08,-116.3,0.0,top
C31,132.74,-107.92,0.0,top
C32,129.78,-122.68,270.0,top
C33,128.48,-123.48,270.0,top
C34,127.92,-117.5,180.0,top
C35,127.88,-118.48,180.0,top
C36,137.7,-121.08,270.0,top
C37,135.8,-112.7,0.0,top
C38,136.66,-113.72,0.0,top
C8,139.16,-119.72,0.0,top
C9,141.075,-118.72,0.0,top
D2,149.075,-119.22,90.0,top
D3,144.425,-109.55,0.0,top
D4,152.895,-112.705,180.0,top
D5,152.895,-111.1,180.0,top
D6,152.8825,-109.5,180.0,top
J2,151.975,-118.72,270.0,top
J3,140.81,-128.0,90.0,top
J4,130.27,-128.0,90.0,top
J5,132.025,-92.7,90.0,top
L1,127.7,-120.5,90.0,top
L10,143.875,-118.72,180.0,top
L11,146.675,-118.72,0.0,top
L6,137.76,-119.135,90.0,top
L8,139.175,-118.72,0.0,top
L9,138.26,-117.72,0.0,top
R11,150.3825,-112.7,0.0,top
R12,150.3825,-111.1,0.0,top
R13,150.3825,-109.5,0.0,top
R3,143.625,-107.65,90.0,top
R4,132.76,-108.92,0.0,top
TH1,134.26,-109.62,90.0,top
TP1,122.1,-117.9,90.0,top
TP2,133.425,-100.4,90.0,top
U2,133.0,-118.0,0.0,top
U3,121.0,-108.0,0.0,top
U4,140.425,-96.0,180.0,top
Y1,118.1,-114.6,0.0,top
Y3,132.26,-110.77,180.0,top
